#Source	"The Drug Repurposing Hub, Broad Institute"				
#URL	http://www.broadinstitute.org/repurposing				
#File_date	9/7/2018				
#Table_name	drug information				
#API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
#Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
#Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
#Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
#Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
cefradine	Launched	bacterial cell wall synthesis inhibitor	CYP3A4	infectious disease|otolaryngology	respiratory tract infections|otitis|skin infections|urinary tract infections|tonsillitis|pharyngitis|pneumonia
cefsulodin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections
ceftaroline-fosamil	Launched	bacterial cell wall synthesis inhibitor		infectious disease	skin infections|pneumonia
ceftazidime	Launched	bacterial cell wall synthesis inhibitor		infectious disease	respiratory tract infections|skin infections|bacterial septicemia|bone and joint infections|gynecologic infections|intra-abdominal infections|meningitis
ceftibuten	Launched	bacterial cell wall synthesis inhibitor		pulmonary|otolaryngology	bronchitis|otitis|pharyngitis|tonsillitis
ceftiofur	Launched	bacterial cell wall synthesis inhibitor		infectious disease	pneumonia|respiratory tract infections
ceftizoxim	Launched	bacterial cell wall synthesis inhibitor		infectious disease	respiratory tract infections|urinary tract infections|gonorrhea|pelvic inflammatory disease|intra-abdominal infections|bacterial septicemia|skin infections|bone and joint infections|meningitis
ceftriaxone	Launched	bacterial cell wall synthesis inhibitor		infectious disease|otolaryngology	gonorrhea|pneumonia|otitis|skin infections|urinary tract infections|pelvic inflammatory disease|bacterial septicemia|bone and joint infections|intra-abdominal infections|meningitis|surgical prophylaxis
cefuroxime	Launched	bacterial cell wall synthesis inhibitor		infectious disease	gram-negative bacterial infections
cefuroxime-axetil	Launched	bacterial cell wall synthesis inhibitor		otolaryngology	pharyngitis|tonsillitis|otitis|sinusitis
celecoxib	Launched	cyclooxygenase inhibitor	CA12|PDPK1|PTGS2	rheumatology|endocrinology	osteoarthritis|rheumatoid arthritis|ankylosing spondylitis|primary dysmenorrhea (PD)
celiprolol	Launched	adrenergic receptor antagonist	ADRA2A|ADRB1|ADRB2	genetics	Ehlers-Danlos syndrome (EDS)
centazolone	Phase 1	monoamine oxidase inhibitor			
centpropazine	Phase 3	inositol monophosphatase inhibitor			
CEP-32496	Phase 1/Phase 2	RAF inhibitor	BRAF|RAF1		
CEP-33779	Preclinical	JAK inhibitor	JAK2		
CEP-37440	Phase 1	ALK tyrosine kinase receptor inhibitor	ALK		
cephalexin	Launched	bacterial cell wall synthesis inhibitor		infectious disease|otolaryngology	respiratory tract infections|otitis|skin infections|bone and joint infections|genitourinary tract infections
cephalomannine	Preclinical	DNA polymerase inhibitor			
cephalosporin-c-zn	Preclinical	bacterial cell wall synthesis inhibitor			
cephalothin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	skin infections|surgical prophylaxis
cephapirin	Launched	bacterial cell wall synthesis inhibitor		obstetrics/gynecology	mastitis
cepharanthine	Phase 2	NFkB pathway inhibitor			
cephradine	Launched	bacterial cell wall synthesis inhibitor		infectious disease	skin infections|respiratory tract infections|urinary tract infections
ceramide	Launched	phosphoenolpyruvate carboxylase activator|serine/threonine protein phosphatase activator		dermatology	cosmetic
ceritinib	Launched	ALK tyrosine kinase receptor inhibitor	ALK|FLT3|IGF1R|INSR|TSSK1B	oncology	non-small cell lung cancer (NSCLC)
cerulenin	Launched	fatty acid synthase inhibitor	FASN	infectious disease	fungal infection
cetaben	Phase 2	cholesterol inhibitor|ACAT inhibitor	PPARA		
cetilistat	Phase 3	triacylglycerol lipase inhibitor	PNLIP		
cetirizine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis
cetrimonium	Launched			dermatology	cosmetic
cetrorelix	Launched	gonadotropin releasing factor hormone receptor antagonist	GNRHR|LHCGR	endocrinology	premature luteinizing hormone surges
cetylpyridinium	Launched			dental	gingivitis|mouth inflammation
cevimeline	Launched	acetylcholine receptor agonist	CHRM1|CHRM3	rheumatology	sjogren's syndrome
cevipabulin	Phase 1	microtubule stimulant|tubulin polymerization inhibitor	TUBB		
CE3F4	Preclinical	rap guanine nucleotide exchange factor inhibitor	RAPGEF3		
CFM-1571	Preclinical	guanylate cyclase activator			
CFM-2	Preclinical	glutamate receptor antagonist			
CFTRinh-172	Preclinical	chloride channel blocker	CFTR		
CF102	Phase 2	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
CG-400549	Phase 2	FABI inhibitor			
CGH2466	Preclinical	adenosine receptor antagonist	ADORA1|ADORA2B|ADORA3		
CGK-733	Preclinical	ATM kinase inhibitor|ATR kinase inhibitor	ATM|ATR		
CGM097	Phase 1	MDM inhibitor	MDM2		
CGP-12177	Phase 1	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3		
CGP-13501	Preclinical	GABA receptor modulator	GABBR1		
CGP-20712A	Preclinical	adrenergic receptor antagonist	ADRB1|ADRB3		
CGP-37157	Preclinical	mitochondrial Na+/Ca2+ exchanger antagonist|sodium/calcium exchange inhibitor	SLC8A1		
CGP-37849	Phase 1	glutamate receptor antagonist	GRIN2A|GRIN2B|GRIN2C|GRIN2D		
CGP-52411	Preclinical	EGFR inhibitor	EGFR		
CGP-53353	Preclinical	EGFR inhibitor|PKC inhibitor	EGFR|PRKCB		
CGP-54626	Preclinical	GABA receptor antagonist	GABBR1|GABBR2|KCTD12|KCTD16|KCTD8		
CGP-55845	Preclinical	GABA receptor antagonist	GABBR1|GABBR2|KCTD12|KCTD16|KCTD8		
CGP-57380	Preclinical	MAP kinase inhibitor	AURKB|LCK|MKNK1|MKNK2|SGK1		
CGP-60474	Preclinical	CDK inhibitor	CDK1|CDK2		
CGP-71683	Preclinical	neuropeptide receptor antagonist	NPY5R		
CGP-74514	Preclinical	CDK inhibitor	CDK1		
CGP-78608	Preclinical	glutamate receptor antagonist			
CGP-7930	Preclinical	GABA receptor modulator	GABBR1		
CGS-15943	Preclinical	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
CGS-20625	Phase 1	benzodiazepine receptor agonist|GABA benzodiazepine site receptor partial agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6		
CGS-21680	Preclinical	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
CGS-9896	Preclinical	GABA receptor antagonist	GABRA1|GABRB2|GABRG2		
CH-170	Phase 1				
CH-5183284	Phase 1	fibroblast growth factor inhibitor	FGFR1|FGFR2|FGFR3		
CHC	Preclinical	monocarboxylate transporter inhibitor	SLC16A1		
chenodeoxycholic-acid	Launched	11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	HSD11B1|NR1H4	cardiology|gastroenterology	cerebral cholesterosis|gallstones
CHF5074	Phase 2	gamma secretase modulator	PSEN1		
chicago-sky-blue-6b	Preclinical	glutamate inhibitor|macrophage migration inhibiting factor inhibitor	MIF		
chidamide	Launched	HDAC inhibitor	HDAC10|HDAC3		
chiniofon	Launched	antiprotozoal agent		infectious disease	amebiasis
CHIR-124	Preclinical	CHK inhibitor	CHEK1		
CHIR-98014	Preclinical	glycogen synthase kinase inhibitor	GSK3A|GSK3B		
CHIR-99021	Preclinical	glycogen synthase kinase inhibitor	CDK1|GSK3A|GSK3B|MAPK1		
chloralose	Preclinical				
chlorambucil	Launched	DNA inhibitor		hematologic malignancy	chronic lymphocytic leukemia (CLL)|Hodgkin's lymphoma
chloramine-t	Launched			infectious disease	bacterial gill disease
chloramphenicol	Launched	bacterial 50S ribosomal subunit inhibitor	CD55	infectious disease|endocrinology	meningitis|fever|cholera
chloramphenicol-palmitate	Launched	protein synthesis inhibitor		infectious disease|endocrinology	meningitis|fever|cholera
chloramphenicol-sodium-succinate	Launched	protein synthesis inhibitor		infectious disease	gram-negative bacterial infections
chlorazanil	Preclinical				
chlorcyclizine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis
chlorfenson	Phase 2	other antifungal			
chlorhexidine	Launched	membrane integrity inhibitor		dermatology|infectious disease|dental	cosmetic|skin infections|gingivitis
chlorindanol	Preclinical				
chlorindione	Preclinical				
chlorisondamine-diiodide	Preclinical	acetylcholine receptor antagonist	CHRNA1		
chlormadinone-acetate	Launched	5 alpha reductase inhibitor	PGR	endocrinology	hypermenorrhea|amenorrhea|oligomenorrhea|polymenorrhea
chlormezanone	Withdrawn	GABA receptor modulator	GABRA1|TSPO		
chlormidazole	Launched	fungal lanosterol demethylase inhibitor		infectious disease	fungal infection
chlorobutanol	Launched			neurology/psychiatry	anesthetic|sedative
chlorocresol	Launched	ryanodine receptor activator		infectious disease	first-aid antiseptic
chlorogenic-acid	Launched	antioxidant	SLC37A4	neurology/psychiatry|pulmonary|allergy	headache|chest congestion|allergic rhinitis
chlorophyllide-cu-complex-na-salt	Preclinical				
chlorophyllin	Preclinical			urology	urinary incontinence
chlorophyllin-copper	Phase 1	cytochrome P450 inhibitor			
chloroprocaine	Launched	sodium channel blocker	ATP1A1|CHRNA10|GRIN3A|HTR3A|SCN10A|SLC6A3	neurology/psychiatry	local anesthetic
chloropyramine	Launched	histamine receptor antagonist	HRH1	cardiology|ophthalmology|allergy|pulmonary	edema|conjunctivitis|allergic rhinitis|asthma
chloroquine	Launched	antimalarial agent	GSTA2|MRGPRX1|TLR9|TNF	infectious disease	malaria|amebiasis
chlorothiazide	Launched	diuretic	CA1|CA2|CA4|SLC12A3	cardiology	hypertension
chlorothymol	Launched				
chlorotrianisene	Launched	estrogenic hormone	ESR1|ESR2	endocrinology|oncology	menopause|prostate cancer
chloroxine	Launched	opioid receptor antagonist	OPRK1	gastroenterology|infectious disease|dermatology	diarrhea|inflammatory bowel disease|giardiasis|dandruff
chloroxoquinoline	Launched				
chloroxylenol	Launched	ATP synthase inhibitor		infectious disease	skin infections
chlorphenamine	Launched	histamine receptor antagonist	HRH1|SLC6A2|SLC6A3|SLC6A4	allergy	allergic rhinitis|urticaria
chlorphenesin	Launched	muscle relaxant		neurology/psychiatry	muscle relaxant|sedative
chlorphensin-carbamate	Preclinical	muscle relaxant			
chlorproguanil	Launched	dihydrofolate reductase inhibitor	DHFR	infectious disease	malaria
chlorpromazine	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALM1|CHRM1|CHRM3|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR2A|HTR2B|HTR2C|HTR6|HTR7|KCNH2|ORM1|ORM2|SMPD1|TRPC5	neurology/psychiatry|gastroenterology|hematology|infectious disease	schizophrenia|nausea|vomiting|acute intermittent porphyria (AIP)|tetanus
chlorpropamide	Launched	ATP channel blocker	ABCC8|KCNJ10|KCNJ11	endocrinology	diabetes mellitus
chlorpropham	Phase 1	antiviral			
chlorprothixene	Launched	dopamine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|HRH1|HTR2A|HTR2B|HTR2C	neurology/psychiatry	schizophrenia|bipolar disorder
chlorpyrifos	Launched	acetylcholinesterase inhibitor	ACHE		
chlorquinaldol	Launched	other antibiotic		infectious disease	fungal infection
chlortetracycline	Launched	protein synthesis inhibitor		ophthalmology	conjunctivitis
chlorthalidone	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA4|CA7|SLC12A1|SLC12A3	cardiology|gastroenterology|rheumatology|nephrology	hypertension|edema|congestive heart failure|hepatic cirrhosis|nephrotic syndrome|acute glomerulonephritis (AGN)|chronic renal failure
chlorzoxazone	Launched	bacterial 30S ribosomal subunit inhibitor	KCNMA1|KCNN4	neurology/psychiatry	muscle relaxant
cholecalciferol	Launched		VDR	endocrinology	vitamin D deficiency
cholesterol	Preclinical		RORA		
cholic-acid	Launched	bile acid	ADH1C|CES1|COX4I1|COX5A|COX5B|COX6A2|COX6B1|COX6C|COX7A1|COX7B|COX7C|COX8A|ESRRG|FABP6|FECH|GPBAR1|MT-CO1|MT-CO2|MT-CO3|PLA2G1B	gastroenterology|neurology/psychiatry|genetics	bile acid synthesis disorders|peroxisomal disorders|Zellweger syndrome
choline	Phase 3	acetylcholine precursor	ACHE|BCHE|CHRNA2|PCYT1A|PCYT1B|PHOSPHO1|PLD1|PLD2		
choline-alfoscerate	Launched	acetylcholine precursor	GM2A		
CHPG	Preclinical	glutamate receptor agonist	GRM5		
CHR-6494	Preclinical	serine/threonine kinase inhibitor	GSG2		
chromanol-(+/-)	Preclinical	potassium channel blocker			
"chromanol-293B-(-)-[3R,4S]"	Preclinical	potassium channel blocker			
chromocarb	Launched	antispasmodic			
chrysin	Phase 1	breast cancer resistance protein inhibitor	AKR1B1|CDK6|CYP19A1|CYP1B1		
chrysophanic-acid	Preclinical	EGFR inhibitor	EGFR|MTOR		
chuanxiongzine	Phase 2				
CH223191	Preclinical	aryl hydrocarbon receptor antagonist	AHR		
CH5132799	Phase 1	PI3K inhibitor	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG		
CH55	Preclinical	retinoid receptor binder	RARA|RARB		
CI-844	Phase 2				
CI-923	Phase 1	acetylcholine receptor antagonist			
CI-966	Phase 1	GAT inhibitor	SLC6A1		
CI-976	Phase 1	ACAT inhibitor	ACAT1|CES1		
ciaftalan-zinc	Phase 1	reactive oxygen species stimulant			
cianidanol	Withdrawn	fatty acid synthase inhibitor	PTGS1		
cibenzoline	Launched	sodium channel blocker			
ciclesonide	Launched	glucocorticoid receptor agonist	NR3C1|SERPINA6	allergy	allergic rhinitis
ciclopirox	Launched	membrane integrity inhibitor	ATP1A1	infectious disease	onychomycosis
cicloprofen	Preclinical	cyclooxygenase inhibitor	PTGS1|PTGS2		
CID-16020046	Preclinical	G protein-coupled receptor antagonist	GPR55		
CID-2011756	Preclinical	protein kinase inhibitor	PKD1		
CID-2745687	Preclinical	G protein-coupled receptor antagonist	GPR35		
CID-5458317	Preclinical	MAP kinase phosphatase inhibitor	MAPK3		
cidofovir	Launched	DNA polymerase inhibitor		infectious disease	acquired immunodeficiency syndrome (AIDS)|cytomegalovirus retinitis
ciglitazone	Phase 2	PPAR receptor agonist	PPARG		
cilastatin	Launched	dehydropeptidase inhibitor	DPEP1		
cilazapril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension|congestive heart failure
cilengitide	Phase 3	integrin antagonist	ITGAV|ITGB3		
cilnidipine	Launched	calcium channel blocker	CACNA1B	cardiology	hypertension
cilomilast	Phase 3	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4D		
cilostamide	Preclinical	phosphodiesterase inhibitor	PDE3A|PDE3B		
cilostazol	Launched	phosphodiesterase inhibitor	PDE3A|PDE3B	cardiology	claudication
CIM-0216	Preclinical	transient receptor potential channel agonist	TRPM3		
cimaterol	Preclinical	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3		
cimetidine	Launched	histamine receptor antagonist	HRH2|SLC29A4|SLC47A1|SLC47A2	gastroenterology|hematologic malignancy|endocrinology	duodenal ulcer disease|peptic ulcer disease (PUD)|gastroesophageal reflux disease (GERD)|aggressive systemic mastocytosis (ASM)|Zollinger-Ellison syndrome|endocrine adenoma
cimetropium	Launched	acetylcholine receptor antagonist	CHRM1	gastroenterology	irritable bowel syndrome
cinacalcet	Launched	calcium channel activator	CASR	endocrinology|nephrology|oncology	hyperparathyroidism|chronic kidney disease (CKD)|parathyroid carcinoma|hypercalcemia
cinaciguat	Phase 2	guanylate cyclase activator	GUCY1A3|GUCY1B3		
cinalukast	Phase 2	leukotriene receptor antagonist	CYSLTR1		
cinanserin	Preclinical	serotonin receptor antagonist	HTR2A		
cinchocaine	Launched	sodium channel blocker	CALM1|SCN10A|SCN5A	neurology/psychiatry	local anesthetic
cinchonidine	Phase 1	P glycoprotein inhibitor			
cinchonine	Preclinical	P glycoprotein inhibitor	CYP2D6		
cinchophen	Launched	analgesic agent		rheumatology	gout
cinepazet	Launched	vasodilator			
cinepazide	Withdrawn	calcium channel activator			
cinflumide	Phase 2	muscle relaxant			
cinnamaldehyde	Preclinical	aldose reductase inhibitor|TRPV agonist	TRPA1		
cinnarazine	Launched	calcium channel blocker		neurology/psychiatry|gastroenterology|ophthalmology	Meniere's disease|nausea|vomiting|Cogan's syndrome
cinoctramide	Preclinical				
cinoxacin	Launched	topoisomerase inhibitor		infectious disease	urinary tract infections
cinoxate	Launched			dermatology	sunscreen lotion
CINPA-1	Preclinical	CAR antagonist	NR1H4|NR1I3|PPARG		
cinromide	Phase 3				
cintriamide	Preclinical				
cipemastat	Phase 3	metalloproteinase inhibitor	ADAM17|MMP1|MMP13|MMP2|MMP3|MMP8|MMP9		
ciprofibrate	Launched	PPAR receptor agonist	PPARA	endocrinology	hyperlipidemia
ciprofloxacin	Launched	bacterial DNA gyrase inhibitor	TOP2A	otolaryngology	otitis
ciproxifan	Preclinical	histamine receptor antagonist	ADRA2A|ADRA2C|HRH3|HRH4|HTR3A		
CIQ	Preclinical	glutamate receptor potentiator	GRIN2C|GRIN2D		
cirazoline	Preclinical	adrenergic receptor agonist	ADRA1A		
cis-aconitic-acid	Preclinical		ACO2		
cis-ACPD	Preclinical	glutamate receptor agonist	GRM2|GRM3|GRM6|GRM7|GRM8		
"cis-exo-camphanediol-2,3"	Phase 1	nitric oxide stimulant	NOS3		
cis-urocanic acid	Phase 2	serotonin receptor agonist	HTR2A		
cis-urocanic-acid	Phase 2	serotonin receptor agonist	HTR2A		
"cis-9,trans-11-Conjugated-linoleic-acid"	Launched				
cisapride	Withdrawn	serotonin receptor agonist	HTR2A|HTR3A|HTR4|KCNH2		
cisatracurium	Launched	acetylcholine receptor antagonist	CHRNA2	neurology/psychiatry|critical care	muscle relaxant|endotracheal intubation
cisplatin	Launched	DNA alkylating agent|DNA synthesis inhibitor	XIAP	oncology	testicular carcinoma|ovarian cancer|bladder cancer
citalopram	Launched	selective serotonin reuptake inhibitor (SSRI)	SLC6A2|SLC6A4	neurology/psychiatry	depression
CITCO	Preclinical	constitutive androstane receptor (CAR) agonist	NR1I3		
citicoline	Launched	membrane permeability enhancer|glutathione transferase stimulant	ACHE|SLC1A2	neurology/psychiatry|ophthalmology	stroke|Alzheimer's disease|senile dementia|Parkinson's Disease|attention-deficit/hyperactivity disorder (ADHD)|glaucoma
citiolone	Preclinical	lipotropic|mucolytic agent			
citric-acid	Preclinical	coagulation factor inhibitor	AKR1B1|ANG|APRT|BHMT|C8G|CA4|CPB1|CS|CTDSP1|GNMT|HGS|HS3ST3A1|IL4I1|ITPA|LSM6|MDH2|MIF|PDE5A|PKD2L1|PLEKHA1|RNASE1|RNASE3|SRC|TNFSF13B|UCK2		
CJ-033466	Preclinical	serotonin receptor agonist	HTR4		
CK-636	Preclinical	actin related protein inhibitor	ACTR2|ACTR3|ARPC1B|ARPC2|ARPC3|ARPC4|ARPC5		
CKD-712	Phase 1	NFkB pathway inhibitor	JAK2|STAT1		
CKI-7	Preclinical	casein kinase inhibitor	CSNK1G2		
CL-218872	Phase 1	benzodiazepine receptor agonist	GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2		
CL-225385	Phase 2				
cladribine	Launched	adenosine deaminase inhibitor|ribonucleotide reductase inhibitor	ADA|PNP|POLA1|POLE|POLE2|POLE3|POLE4|RRM1|RRM2|RRM2B	hematologic malignancy	hairy cell leukemia
clarithromycin	Launched	bacterial 50S ribosomal subunit inhibitor	CYP3A4	otolaryngology|pulmonary|infectious disease	pharyngitis|tonsillitis|sinusitis|bronchitis|pneumonia|skin infections|otitis
clavulanate	Launched	beta lactamase inhibitor		otolaryngology	otitis
clebopride	Launched	dopamine receptor antagonist	ACHE|DRD2	gastroenterology	nausea
clemastine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis|urticaria
clemizole	Launched	HCV inhibitor		allergy	allergic rhinitis
clenbuterol	Launched	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3|NGF|TNF	pulmonary	chronic obstructive pulmonary disease (COPD)|asthma
cleviprex	Launched	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1S	cardiology	hypertension
clevudine	Launched	DNA polymerase inhibitor		infectious disease	hepatitis B
clidinium	Launched	acetylcholine receptor antagonist	CHRM1|CHRM3	gastroenterology	peptic ulcer disease (PUD)|irritable bowel syndrome|enterocolitis
climbazole	Launched	enzyme inducer		dermatology	dandruff|eczema
clinafloxacin	Phase 3	bacterial DNA gyrase inhibitor			
clindamycin	Launched	protein synthesis inhibitor		infectious disease	respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections
clindamycin-palmitate	Launched	bacterial 50S ribosomal subunit inhibitor		infectious disease	intra-abdominal infections|skin infections|pneumonia|peritonitis|gynecologic infections
clindamycin-phosphate	Launched	protein synthesis inhibitor		obstetrics/gynecology	bacterial vaginosis
clinofibrate	Launched	lipase clearing factor inhibitor	LPL	endocrinology	hypertriglyceridemia
clioquinol	Withdrawn	chelating agent	OPRK1		
clobazam	Launched	GABA benzodiazepine site receptor agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	neurology/psychiatry	seizures
clobenpropit	Preclinical	histamine receptor antagonist	HRH1|HRH2|HRH3|HRH4		
clobetasol-propionate	Launched	glucocorticoid receptor agonist	NR3C1|PLA2G1B	dermatology	corticosteroid-responsive dermatoses
